model,gyration
492,44.969042513046446
493,31.18905340435231
494,34.35770193702997
495,32.26339367441833
496,33.77844074863409
497,24.545536678171885
498,26.828059617038203
499,42.84926705910722
500,35.41222647780768
501,21.622611878865428
502,38.43268261567577
503,24.89858064622801
504,24.74523978909593
505,31.315513378023187
506,21.06215588049772
507,24.57057173462837
508,38.47065977290671
509,26.317274469961472
510,27.22173573771836
511,39.7084136463213
512,25.38823759155888
513,24.91122123610273
514,30.993594145835434
515,20.105465827234635
516,41.25967859154847
517,37.40929397898498
518,21.741798009536875
519,25.91863478429665
520,36.28554464416609
521,22.92983500415192
522,20.53807367305331
523,33.00309517180383
524,22.64472333619196
525,46.54693280934245
526,18.95532489218848
527,26.26255969173171
528,32.79259811246315
529,35.52411054762423
530,20.932845781792576
531,39.75456943761548
532,25.617352044370552
533,36.007104590634654
534,41.66792078966353
535,28.52080901332708
536,39.25165080343169
537,28.173246257711597
538,31.29677796067431
539,22.549865175404435
540,35.57950996636058
541,34.46550777458271
542,38.229776549274746
543,29.257415698983166
544,23.453508266650186
545,27.00192192208925
546,23.646388017966903
547,18.858270210356764
548,35.89252508331077
549,35.83063320975018
550,23.745762107254865
551,34.95827584819203
552,29.392031022772123
553,29.22069138921196
554,29.03916888638313
555,32.33819982455697
556,22.934115547881305
557,21.28397537180748
558,28.323588468880608
559,20.902140385853
560,32.905075790339495
561,40.46072828359166
562,29.249886481094705
563,26.016411919328668
564,30.228185094531835
565,27.91181926289488
566,33.31801896262554
567,36.6101446067264
568,30.408176580997395
569,31.680582725494112
570,38.54001367936103
571,29.692671563445383
572,28.603689346156735
573,29.12244406163693
574,29.021430882101143
575,22.338727143436724
576,43.49653291446402
